product_name,url,sku,overall_rating,rating,headline,review,sentiment,date,author
Oxi Automatic Fine Fragrance Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-fine-fragrance-gel-for-white-colors-4-kg-46695266.html,OX529FF13G6A8NAFAMZ,4.1 out of 5,5 out of 5,Ahmed,جيد,neutral,23-02-2025,by Ahmed
Oxi Automatic Fine Fragrance Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-fine-fragrance-gel-for-white-colors-4-kg-46695266.html,OX529FF13G6A8NAFAMZ,4.1 out of 5,5 out of 5,منتج ممتاز,الاصلي و الريحه جميله جدا,neutral,06-01-2025,by Rawan
Oxi Automatic Fine Fragrance Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-fine-fragrance-gel-for-white-colors-4-kg-46695266.html,OX529FF13G6A8NAFAMZ,4.1 out of 5,5 out of 5,جميل جدا,ريحته جميله وبينضف,neutral,09-12-2024,by omar
Oxi Automatic Fine Fragrance Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-fine-fragrance-gel-for-white-colors-4-kg-46695266.html,OX529FF13G6A8NAFAMZ,4.1 out of 5,5 out of 5,جيد,سعر مناسب جدا,neutral,11-11-2024,by Mohamed
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,5 out of 5,٣ ابيض,٣ منهم ابيض مش كلهم الوان,neutral,24-08-2025,by Mervat
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,5 out of 5,عرض جيد,يستاهل,neutral,05-08-2025,by سمير
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,5 out of 5,المقاس مظبوط بس خفيف,جه منهم ٣ ابيض والخامة خفيفة شوية بس اعتقد حلوة,neutral,29-07-2025,by Ibrahem
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,5 out of 5,good,شيك جدآ,neutral,21-07-2025,by Ahmad
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,5 out of 5,حلو جدا,المشكله ان بيبعتهم في العرض 3 فانله ابيض,neutral,20-07-2025,by SEIF
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,1 out of 5,مش نفس الوصف,مقاس كبير جدا ونص الاوردر ابيض,neutral,29-06-2025,by Gehad
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,1 out of 5,المنتج فالعرض مافيش ابيض جالي ٣ ابيض للاسف,الطلب يجي زاي المعروض,neutral,28-05-2025,by Hazem
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,5 out of 5,حلوة,الخامة حلوة,neutral,22-05-2025,by Ahmed
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,5 out of 5,حلوة جدا,خامة ومقاس ممتازين,neutral,26-03-2025,by مي
Dice - Set OF (6) Sleeveless - Undershirt - For Men,https://www.jumia.com.eg/dice-set-of-6-sleeveless-undershirt-for-men-52415912.html,DI195MW0D2HTTNAFAMZ,3.9 out of 5,3 out of 5,اخف من المحلات,سعر كويس لكن اخف من المحلات,neutral,23-03-2025,by Andrew
Polo t-shirt with a trendy ribbed collar,https://www.jumia.com.eg/generic-polo-t-shirt-with-a-trendy-ribbed-collar-133400410.html,GE810MW1ODD2PNAFAMZ,4.3 out of 5,4 out of 5,good,استايل السوستة جيد,neutral,04-08-2025,by كريم
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,5 out of 5,حلو,ترطيب هايل وخفيف ع جسم,neutral,24-08-2025,by rawan
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,4 out of 5,ترطيبة جيد,ترطيبة جيد لكن رائحته مش حلوة كأنة قديم,neutral,30-07-2025,by Maha
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,5 out of 5,هكروو ومش هبطلو,تحفه حرفيا مع الاستمرار خطير,neutral,17-07-2025,by سماح
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,5 out of 5,shaan body milk,المرطب حلو بعد الشيفنج و للصيف عشان خفيف لكن لو عندك جلد وزه مش هيعالج زي الناس ما بتقول,neutral,22-06-2025,by يارا
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,2 out of 5,ترطيب عادى,ترطيب عادى,neutral,22-06-2025,by Rania
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,5 out of 5,ترطيب عالي,تحفه,neutral,18-06-2025,by Rania
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,5 out of 5,مرطب جيد,اقل من سعر الصيدليات,neutral,17-06-2025,by Raef
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,5 out of 5,عادي,هو حلو ك ترطيب بس اللي بريحه احلي,neutral,10-06-2025,by Ganat
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,5 out of 5,Amazing Product,Makes my skin extremely soft,neutral,26-05-2025,by Aya
Shaan Body Milk 300 ml,https://www.jumia.com.eg/shaan-body-milk-300-ml-130010355.html,SH749ST2KGN0RNAFAMZ,4.5 out of 5,5 out of 5,...,اجمل ترطيب ممكن يقدمه لوشن بجد تحفه تحفه تحفه وسعره فالعرض وهمى ١٠٩ج شكرا جوميا,neutral,20-05-2025,by Asmaa
Elc 32Z1TN - 32 Inch HD Standard Frameless LED TV,https://www.jumia.com.eg/elc-32z1tn-32-inch-hd-standard-frameless-led-tv-130173160.html,EL138EL1R6VWVNAFAMZ,3.9 out of 5,5 out of 5,الجماليه دقهليه,منتج ممتاز وجوده صوره جميله,neutral,09-03-2025,by خالد الشامى
Elc 32Z1TN - 32 Inch HD Standard Frameless LED TV,https://www.jumia.com.eg/elc-32z1tn-32-inch-hd-standard-frameless-led-tv-130173160.html,EL138EL1R6VWVNAFAMZ,3.9 out of 5,3 out of 5,جوميا ممتازه,الشاشه صغيره أقل من الشاشات ٣٢ في الابعاد تحت التجربه,neutral,09-03-2025,by Mohamed
Elc 32Z1TN - 32 Inch HD Standard Frameless LED TV,https://www.jumia.com.eg/elc-32z1tn-32-inch-hd-standard-frameless-led-tv-130173160.html,EL138EL1R6VWVNAFAMZ,3.9 out of 5,5 out of 5,مش وحش,احسن من شاشات غاليه علي الفاضيي,neutral,23-02-2025,by Samar
LC Waikiki Shirt Collar Women's Dress,https://www.jumia.com.eg/lc-waikiki-shirt-collar-womens-dress-130144687.html,LC160MW2YCYO7NAFAMZ,4.3 out of 5,4 out of 5,طويل واسع بس شفاف,طويل واسع بس شفاف,neutral,22-07-2025,by Mg
LC Waikiki Shirt Collar Women's Dress,https://www.jumia.com.eg/lc-waikiki-shirt-collar-womens-dress-130144687.html,LC160MW2YCYO7NAFAMZ,4.3 out of 5,3 out of 5,صيفى خفيف,شفاف جداً,neutral,04-05-2025,by Sumaya Abo ElHamd
Molfix 3D Mini Diapers - Size 2 - 60 Pcs,https://www.jumia.com.eg/3d-mini-diapers-size-2-60-pcs-molfix-mpg856868.html,MO711DI12NTCANAFAMZ,4.3 out of 5,5 out of 5,جيد جدا,كويس جدا,neutral,10-06-2025,by محمد
Molfix 3D Mini Diapers - Size 2 - 60 Pcs,https://www.jumia.com.eg/3d-mini-diapers-size-2-60-pcs-molfix-mpg856868.html,MO711DI12NTCANAFAMZ,4.3 out of 5,2 out of 5,مش عاجبني,بنتي شهر ونص ومقاس 2 بيسرب جدددا,neutral,13-02-2025,by Jasmine
Molfix 3D Mini Diapers - Size 2 - 60 Pcs,https://www.jumia.com.eg/3d-mini-diapers-size-2-60-pcs-molfix-mpg856868.html,MO711DI12NTCANAFAMZ,4.3 out of 5,2 out of 5,مش احسن حاجة,مش حلو,neutral,24-11-2024,by احمد
Molfix 3D Mini Diapers - Size 2 - 60 Pcs,https://www.jumia.com.eg/3d-mini-diapers-size-2-60-pcs-molfix-mpg856868.html,MO711DI12NTCANAFAMZ,4.3 out of 5,5 out of 5,رائع جدا,فعلا منتج مطابق للمواصفات شكرا,neutral,20-09-2023,by محمد
Molfix 3D Mini Diapers - Size 2 - 60 Pcs,https://www.jumia.com.eg/3d-mini-diapers-size-2-60-pcs-molfix-mpg856868.html,MO711DI12NTCANAFAMZ,4.3 out of 5,5 out of 5,مقاسه مضبوط,"حلو جدا  

حلو اوووي",neutral,18-07-2023,by Nada
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,3 out of 5,خامات متوسطة,خامات متوسطة وتقفيل سيئ,neutral,03-08-2025,by Hany
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,3 out of 5,جيد بالنسبة لسعره,جيد بالنسبة لسعره,neutral,30-07-2025,by محمد البراوى
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,1 out of 5,سيء جدا,سيء جدا جدا,neutral,21-07-2025,by هبة الله
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,4 out of 5,تقييم,عملية الشراء الأخيرة المقاس كان اصغر من كل مرة للأسف,neutral,22-06-2025,by Doaa Refaey
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,2 out of 5,مش محتاج تعديل,منتج كويس جدا,neutral,16-09-2024,by Sh
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,5 out of 5,رائع,اشترو وانتم مطنين,neutral,24-07-2024,by مصطفي
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,5 out of 5,ماركة معتمدة,خامة وجودة شكرا,neutral,15-04-2024,by Hanan
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,1 out of 5,خامة رديئة جدا,خامة اقل من المتوقع بكثير ولو امكن القول رديئة جدا,neutral,22-11-2023,by Romany
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,3 out of 5,جيد,هناك اختلاف فى المقاسات علما بان الطلب كان لمقاس واحد,neutral,08-11-2023,by Shady
Cottonil - Set Of (6) Boxer Every Day,https://www.jumia.com.eg/bundle-of-3-men-boxer-solid-cottonil-mpg927651.html,CO251MW0KLQ4INAFAMZ,4 out of 5,5 out of 5,جيد,الالوان مش زي الصورة,neutral,03-07-2023,by محمد
Signal Cavity Fighter Kids for Sugar Acid Protection and stronger teeth Strawberry Toothpaste 50ml,https://www.jumia.com.eg/signal-cavity-fighter-kids-for-sugar-acid-protection-and-stronger-teeth-strawberry-toothpaste-50ml-103901651.html,SI763HB1WTXYQNAFAMZ,4.9 out of 5,5 out of 5,ممتاز,ممتاز,neutral,23-10-2024,by Dalia Mo
Dice Set Of (6) Boxers - For Men,https://www.jumia.com.eg/dice-set-of-6-boxers-for-men-96298676.html,DI195MW14ATDHNAFAMZ,4.5 out of 5,4 out of 5,جيد,صناعة مصرية جيدة,neutral,24-08-2025,by Salim
Dice Set Of (6) Boxers - For Men,https://www.jumia.com.eg/dice-set-of-6-boxers-for-men-96298676.html,DI195MW14ATDHNAFAMZ,4.5 out of 5,5 out of 5,منتج متميز,"منتج متميز و خدمة عملاء متميزة و خدمة التوصيل رجل محترم
شكرا",neutral,19-08-2025,by ضياء
Dice Set Of (6) Boxers - For Men,https://www.jumia.com.eg/dice-set-of-6-boxers-for-men-96298676.html,DI195MW14ATDHNAFAMZ,4.5 out of 5,5 out of 5,الخامه ممتزه,مقساته مظبوطه جدا والخامه تحفه,neutral,10-08-2025,by Yasmen
Dice Set Of (6) Boxers - For Men,https://www.jumia.com.eg/dice-set-of-6-boxers-for-men-96298676.html,DI195MW14ATDHNAFAMZ,4.5 out of 5,4 out of 5,تكرار الألوان,رائع ما عدا وجود ألوان مكرره..,neutral,30-07-2025,by أحمد
Dice Set Of (6) Boxers - For Men,https://www.jumia.com.eg/dice-set-of-6-boxers-for-men-96298676.html,DI195MW14ATDHNAFAMZ,4.5 out of 5,5 out of 5,good,متين وشيك..,neutral,21-07-2025,by Ahmad
LC Waikiki Regular Women's Booties Socks 5-Pack,https://www.jumia.com.eg/lc-waikiki-regular-womens-booties-socks-5-pack-129985375.html,LC160MW2LOQZ4NAFAMZ,4.7 out of 5,5 out of 5,حلوين جدا,وخامتهم قطن,neutral,27-07-2025,by Aya
LC Waikiki Regular Women's Booties Socks 5-Pack,https://www.jumia.com.eg/lc-waikiki-regular-womens-booties-socks-5-pack-129985375.html,LC160MW2LOQZ4NAFAMZ,4.7 out of 5,1 out of 5,مقاس معيوب,المقاس وصل اطفالي صغير علي الرغم من المطلوب 36/38,neutral,30-06-2025,by سم
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,4 out of 5,جيد,سعرة غالي,neutral,27-07-2025,by Amira
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,5 out of 5,جميله,جدا وسعرها ارخص من المحلات,neutral,30-06-2025,by كنزى
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,3 out of 5,كويسين ع السعر,مفيهمش جيل للاسف ف كويسين ع سعرهم,neutral,29-06-2025,by Esraa
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,5 out of 5,very good,Very good quality,positive,13-06-2025,by Mostafa
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,1 out of 5,Disappointing,Very dull,negative,12-06-2025,by Heba Magdy
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,5 out of 5,جميله,شفرات ناعمه,neutral,25-05-2025,by Ayat
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,5 out of 5,ناعمة وحلوة,بيرفكتو,neutral,18-05-2025,by Neveen
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,4 out of 5,جميل جداً,كويسه  جدا,neutral,18-05-2025,by جسيكا
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,5 out of 5,جميله اوى,حلوة جدا الاصلية,neutral,10-04-2025,by Hager
Avuva Premium Disposable Razor – For Women – 5 PCs,https://www.jumia.com.eg/avuva-premium-disposable-razor-for-women-5-pcs-52768748.html,AV327ST1EH9UTNAFAMZ,4.2 out of 5,5 out of 5,Good product,Good product,positive,11-03-2025,by Aboubakr
Oxi Automatic Oriental Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-oriental-gel-for-white-colors-4-kg-46695265.html,OX529FF0XHU8GNAFAMZ,4.3 out of 5,1 out of 5,سئ جدا ومش مغلف ومفتوح والعلبه قديمه اصلا,ياريت يبقي في اهتمام شويه ف التغليف وجودة التوصيل,neutral,03-08-2025,by Mouaz
Oxi Automatic Oriental Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-oriental-gel-for-white-colors-4-kg-46695265.html,OX529FF0XHU8GNAFAMZ,4.3 out of 5,5 out of 5,حلو جدا,حلو جدا,neutral,12-06-2025,by سيف وزياد
Oxi Automatic Oriental Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-oriental-gel-for-white-colors-4-kg-46695265.html,OX529FF0XHU8GNAFAMZ,4.3 out of 5,5 out of 5,ممتاز,الجودة والسعر,neutral,16-03-2025,by منير
Oxi Automatic Oriental Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-oriental-gel-for-white-colors-4-kg-46695265.html,OX529FF0XHU8GNAFAMZ,4.3 out of 5,5 out of 5,ممتاز,تحفة رائحة ونضافة وسعر,neutral,11-03-2025,by Nourhan
Oxi Automatic Oriental Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-oriental-gel-for-white-colors-4-kg-46695265.html,OX529FF0XHU8GNAFAMZ,4.3 out of 5,2 out of 5,مثال جيد,المنتج  جيد,neutral,02-03-2025,by نصر
Oxi Automatic Oriental Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-oriental-gel-for-white-colors-4-kg-46695265.html,OX529FF0XHU8GNAFAMZ,4.3 out of 5,1 out of 5,المنظفات,ريحته وحشة جدا,neutral,14-01-2024,by رهام
Oxi Automatic Oriental Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-oriental-gel-for-white-colors-4-kg-46695265.html,OX529FF0XHU8GNAFAMZ,4.3 out of 5,4 out of 5,جيد جدا,منتج محترم و اثبت كفاءة و يكفي انه مصري,neutral,31-12-2023,by Fatma
Oxi Automatic Oriental Gel For White & Colors - 4 Kg,https://www.jumia.com.eg/oxi-automatic-oriental-gel-for-white-colors-4-kg-46695265.html,OX529FF0XHU8GNAFAMZ,4.3 out of 5,5 out of 5,رائع,رائحته جميلة وليست متعبة ويجعل الملابس ناعمة,neutral,08-11-2023,by Rania
LC Waikiki Boat Neck Short Sleeve Woman Crop Top,https://www.jumia.com.eg/lc-waikiki-boat-neck-short-sleeve-woman-crop-top-129947902.html,LC800MW200WWGNAFAMZ,4.8 out of 5,5 out of 5,تحفة,لونها احلى من الصورة,neutral,30-07-2025,by اسماء
LC Waikiki Boat Neck Short Sleeve Woman Crop Top,https://www.jumia.com.eg/lc-waikiki-boat-neck-short-sleeve-woman-crop-top-129947902.html,LC800MW200WWGNAFAMZ,4.8 out of 5,5 out of 5,جميل,حلووو جدًا كيووت,neutral,17-07-2025,by Amira Lotfy
LC Waikiki Boat Neck Short Sleeve Woman Crop Top,https://www.jumia.com.eg/lc-waikiki-boat-neck-short-sleeve-woman-crop-top-129947902.html,LC800MW200WWGNAFAMZ,4.8 out of 5,5 out of 5,جيد جدا,اللون حلو مثل الصورة والمقاس مظبوط بس قصير شوية لو انتى طويلة,neutral,09-07-2025,by Noor
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,4 out of 5,جيد,جيد و مناسب,neutral,24-08-2025,by asmaa
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,4 out of 5,مظبوط,مظبوط,neutral,17-08-2025,by Marwa
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,1 out of 5,وحش جدا,ملوش اي علاقة بالصورة و وحش جدا و مش متقفل عدل خالص,neutral,12-08-2025,by Menna
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,5 out of 5,سلوى,ممتاز   ومريح جدا انصح بشراءة,neutral,06-08-2025,by Salwa
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,3 out of 5,not bad,The size not the same its smaller by 1size at least,neutral,16-07-2025,by Ahmed
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,5 out of 5,zy el sora blzbt,Thanks a lot.,positive,16-07-2025,by Salma
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,5 out of 5,ممتاز,جيدا جدا,neutral,19-06-2025,by احمد
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,4 out of 5,جيد,الشبشب معقول بس يناسب اكتر اصحاب القدم المفلطحه هو واسع من قدام,neutral,01-06-2025,by Mohamed
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,5 out of 5,Slippers for unisex,"Got it for my husband size 44( his actual size) it fitted him perfectly, it's light, comfortable and soft",positive,25-05-2025,by Asta
Slippers For Unisex -,https://www.jumia.com.eg/generic-slippers-for-unisex-53851561.html,GE810FS09TZP7NAFAMZ,3.7 out of 5,5 out of 5,مساكن شركه مصر,شبشب مريح جدا انصح بشراءه,neutral,25-05-2025,by Marwwan Ramzy
Women Bracelets Fashion Ladies Classic Jewelry,https://www.jumia.com.eg/generic-women-bracelets-fashion-ladies-classic-jewelry-131319049.html,GE810FC37K1TDNAFAMZ,4.1 out of 5,4 out of 5,رقيق,حلو ورقيق وبسيط خالص مش عارفه إذا كان بيغير لون ام لا غير بعد الاستخدام لكن هو بسيط ورقيق وزي الصوره,neutral,24-08-2025,by Amira
ADIDAS Cloudfoam Go Lounger Sportwear Shoes - Maroon/Cblack/Cwhite,https://www.jumia.com.eg/adidas-cloudfoam-go-lounger-sportwear-shoes-marooncblackcwhite-133009548.html,AD537FS31WEKXNAFAMZ,4.5 out of 5,5 out of 5,اصليه,شوز ممتازه بس عيبها الوحيد ضيقه من الرقبه,neutral,19-08-2025,by Ahmad
ADIDAS Cloudfoam Go Lounger Sportwear Shoes - Maroon/Cblack/Cwhite,https://www.jumia.com.eg/adidas-cloudfoam-go-lounger-sportwear-shoes-marooncblackcwhite-133009548.html,AD537FS31WEKXNAFAMZ,4.5 out of 5,5 out of 5,حلو جدا,مريح بس محتاج تجيب مقاس اكبر حاجه بسيطه,neutral,17-08-2025,by hamdy
ADIDAS Cloudfoam Go Lounger Sportwear Shoes - Maroon/Cblack/Cwhite,https://www.jumia.com.eg/adidas-cloudfoam-go-lounger-sportwear-shoes-marooncblackcwhite-133009548.html,AD537FS31WEKXNAFAMZ,4.5 out of 5,5 out of 5,ممتاز,مريح جدا,neutral,17-08-2025,by Mohamed
ADIDAS Cloudfoam Go Lounger Sportwear Shoes - Maroon/Cblack/Cwhite,https://www.jumia.com.eg/adidas-cloudfoam-go-lounger-sportwear-shoes-marooncblackcwhite-133009548.html,AD537FS31WEKXNAFAMZ,4.5 out of 5,5 out of 5,Nice price with high quality,"Nice price with high quality, but the size is a little bit tight",neutral,11-08-2025,by fathy
ADIDAS Cloudfoam Go Lounger Sportwear Shoes - Maroon/Cblack/Cwhite,https://www.jumia.com.eg/adidas-cloudfoam-go-lounger-sportwear-shoes-marooncblackcwhite-133009548.html,AD537FS31WEKXNAFAMZ,4.5 out of 5,5 out of 5,خامه ممتازه,خامه ممتازه,neutral,04-08-2025,by Sherif
ADIDAS Cloudfoam Go Lounger Sportwear Shoes - Maroon/Cblack/Cwhite,https://www.jumia.com.eg/adidas-cloudfoam-go-lounger-sportwear-shoes-marooncblackcwhite-133009548.html,AD537FS31WEKXNAFAMZ,4.5 out of 5,1 out of 5,مكان دخول الرجل في الحذاء ضيق جدا,محتاجه وقت حتى تكون مريحة في اللبس,neutral,27-07-2025,by Ramy
ATA ATA55ULS- 55-inch 4K Smart TV frameless,https://www.jumia.com.eg/ata55a114-f-p-s-55-inch-uhd-led-smart-tv-ata-mpg895267.html,AT933EL0LW3VKNAFAMZ,4 out of 5,5 out of 5,ممتاز,ممتازة طلبت 5 و ال5 جم في معادهم و كلهم تمام,neutral,08-09-2022,by teekaa
ATA ATA55ULS- 55-inch 4K Smart TV frameless,https://www.jumia.com.eg/ata55a114-f-p-s-55-inch-uhd-led-smart-tv-ata-mpg895267.html,AT933EL0LW3VKNAFAMZ,4 out of 5,4 out of 5,متوسط,طلبت خمسه جيه منهم اتنين بايظين????,neutral,20-08-2022,by Adham
ATA ATA55ULS- 55-inch 4K Smart TV frameless,https://www.jumia.com.eg/ata55a114-f-p-s-55-inch-uhd-led-smart-tv-ata-mpg895267.html,AT933EL0LW3VKNAFAMZ,4 out of 5,1 out of 5,سيء,الاهتمام,neutral,05-04-2022,by mohamed
ATA ATA55ULS- 55-inch 4K Smart TV frameless,https://www.jumia.com.eg/ata55a114-f-p-s-55-inch-uhd-led-smart-tv-ata-mpg895267.html,AT933EL0LW3VKNAFAMZ,4 out of 5,5 out of 5,جيد جدا,سعر وجودة,neutral,08-03-2022,by Yasser
